TICKER,CUSIP,EDATE,LFRI,PrePRC,OpmPRC,PostPRC,ANNDATS
000R,14163310,2018-02-27,2018-02-23,18.77,18.56,17.4,20180227
000R,14163310,2019-03-07,2019-03-01,24.17,25.54,22.8,20190307
000R,14163310,2018-05-08,2018-05-04,15.86,15.63,18.92,20180508
000R,14163310,2019-05-09,2019-05-03,16.32,16.4,14.94,20190509
000R,14163310,2019-11-06,2019-11-01,11.96,12.02,12.35,20191106
000R,14163310,2018-11-08,2018-11-02,18.0,18.1,18.85,20181108
000R,14163310,2019-08-06,2019-08-02,10.22,10.71,7.73,20190806
000R,14163310,2018-07-30,2018-07-27,20.76,20.76,17.35,20180730
000V,28249U10,2018-08-10,2018-08-03,9.85,9.85,9.6,20180810
000V,28249U10,2018-05-11,2018-05-04,9.25,8.5,10.0,20180511
000V,28249U10,2020-03-13,2020-03-06,5.6,8.45,5.91,20200313
000V,28249U10,2018-11-09,2018-11-02,11.63,12.21,10.91,20181109
001A,81776310,2021-05-10,2021-05-07,2.67,2.67,2.39,20210510
001A,81776310,2020-08-10,2020-08-07,1.0,1.0,1.06,20200810
001A,81776310,2021-03-15,2021-03-12,2.86,2.86,2.84,20210315
001A,81776310,2020-03-16,2020-03-13,0.6321,0.6321,0.455,20200316
001A,81776310,2019-11-12,2019-11-08,1.12,1.135,1.14,20191112
001A,81776310,2020-05-11,2020-05-08,0.8074,0.8074,0.7057,20200511
001A,81776310,2018-08-14,2018-08-10,1.88,1.79,1.89,20180814
001A,81776310,2020-11-09,2020-11-06,1.03,1.03,1.11,20201109
001A,81776310,2018-11-08,2018-11-02,1.54,1.6,1.86,20181108
001K,45780R10,2019-02-28,2019-02-22,45.46,46.53,43.62,20190228
001K,45780R10,2021-02-24,2021-02-19,122.92,126.63,112.3,20210224
001K,45780R10,2021-05-07,2021-04-30,137.92,134.64999,127.57,20210507
001K,45780R10,2019-08-08,2019-08-02,53.76,52.89,55.53,20190808
001K,45780R10,2020-02-27,2020-02-21,69.67,79.14,68.81,20200227
001K,45780R10,2018-02-28,2018-02-23,68.0,66.55,59.75,20180228
001K,45780R10,2020-05-08,2020-05-01,51.82,46.66,55.34,20200508
001K,45780R10,2018-11-01,2018-10-26,30.46,29.94,35.28,20181101
001K,45780R10,2018-08-02,2018-07-27,54.1,53.0,52.5,20180802
001K,45780R10,2018-05-03,2018-04-27,57.05,59.6,57.1,20180503
001K,45780R10,2020-08-06,2020-07-31,84.65,79.11,85.0,20200806
001K,45780R10,2020-11-05,2020-10-30,102.97,90.54,101.25,20201105
001K,45780R10,2019-05-02,2019-04-26,48.43,47.6,53.12,20190502
001K,45780R10,2019-11-01,2019-10-25,65.22,63.83,75.7,20191101
001L,20602210,2021-02-25,2021-02-19,6.85,7.07,6.87,20210225
001L,20602210,2020-04-30,2020-04-24,11.34,11.42,9.98,20200430
001L,20602210,2020-11-05,2020-10-30,10.69,10.32,10.9,20201105
001L,20602210,2020-08-06,2020-07-31,9.56,9.27,9.35,20200806
001L,20602210,2021-05-04,2021-04-30,4.17,4.15,3.87,20210504
001L,20602210,2019-02-28,2019-02-22,15.0,14.56,15.19,20190228
001L,20602210,2018-11-01,2018-10-26,14.92,15.01,14.66,20181101
001L,20602210,2018-05-03,2018-04-27,18.37,18.7,19.68,20180503
001L,20602210,2018-03-01,2018-02-23,21.88,21.75,21.04,20180301
001L,20602210,2020-02-27,2020-02-21,10.92,11.05,10.18,20200227
001L,20602210,2018-08-02,2018-07-27,16.11,16.22,17.52,20180802
001L,20602210,2019-11-07,2019-11-01,6.4,6.5,6.4,20191107
001L,20602210,2019-08-01,2019-07-26,10.06,10.41,10.94,20190801
001L,20602210,2019-05-02,2019-04-26,10.19,10.15,9.96,20190502
001M,45780L10,2019-08-07,2019-08-02,55.18,58.75,42.32,20190807
001X,75629F10,2019-02-19,2019-02-15,8.67,8.67,8.68,20190219
001X,75629F10,2019-08-08,2019-08-02,9.75,9.43,10.87,20190808
001X,75629F10,2018-11-07,2018-11-02,7.11,7.0,7.29,20181107
001X,75629F10,2018-02-27,2018-02-23,8.91,8.56,8.92,20180227
001X,75629F10,2020-08-10,2020-08-07,4.4,4.4,3.34,20200810
001X,75629F10,2020-05-11,2020-05-08,8.42,8.42,5.08,20200511
001X,75629F10,2019-05-10,2019-05-03,8.8,9.0,9.1,20190510
001X,75629F10,2018-08-07,2018-08-03,5.52,5.42,5.66,20180807
001X,75629F10,2018-05-09,2018-05-04,11.28,11.32,10.97,20180509
001X,75629F10,2019-11-08,2019-11-01,15.71,15.75,17.45,20191108
001X,75629F10,2020-03-04,2020-02-28,14.35,14.34,11.0,20200304
001X,75629F10,2021-02-26,2021-02-19,4.91,4.56,3.43,20210226
001X,75629F10,2020-11-09,2020-11-06,1.6,1.6,1.98,20201109
002T,69007J10,2020-05-08,2020-05-01,14.45,13.96,15.38,20200508
003G,4525EP10,2021-05-06,2021-04-30,14.15,15.36,11.88,20210506
003G,4525EP10,2019-08-08,2019-08-02,12.96,13.44,12.81,20190808
003G,4525EP10,2021-02-26,2021-02-19,15.64,16.85,15.95,20210226
003G,4525EP10,2020-05-08,2020-05-01,8.46,7.61,8.6,20200508
004F,03990B10,2021-02-11,2021-02-05,50.63,48.67,50.59,20210211
004F,03990B10,2020-10-28,2020-10-23,42.95,44.83,42.06,20201028
004F,03990B10,2019-05-02,2019-04-26,24.7,24.18,24.48,20190502
004F,03990B10,2020-05-06,2020-05-01,32.5,32.67,35.0,20200506
004F,03990B10,2019-10-31,2019-10-25,29.73,28.25,29.57,20191031
004F,03990B10,2020-08-05,2020-07-31,40.41,39.94,40.56,20200805
004F,03990B10,2020-02-13,2020-02-07,40.63,38.45,41.1,20200213
004F,03990B10,2019-02-14,2019-02-08,21.75,21.61,22.4,20190214
004F,03990B10,2019-07-31,2019-07-26,29.49,29.33,29.25,20190731
005I,00847L10,2019-10-28,2019-10-25,1.11,1.11,0.4515,20191028
005I,00847L10,2019-08-01,2019-07-26,1.16,1.3,1.1,20190801
005I,00847L10,2018-08-03,2018-07-27,0.268,0.295,0.291,20180803
007X,88087E10,2021-02-25,2021-02-19,48.01,49.6,46.2,20210225
007X,88087E10,2021-05-06,2021-04-30,50.63,50.89,48.8,20210506
008A,78667J10,2020-02-27,2020-02-21,63.65,69.53,52.01,20200227
008A,78667J10,2021-02-24,2021-02-19,80.24,82.33,85.04,20210224
008A,78667J10,2019-08-06,2019-08-02,156.64,160.75999,162.34,20190806
008A,78667J10,2020-08-10,2020-08-07,50.7,50.7,53.31,20200810
008A,78667J10,2019-11-12,2019-11-08,144.34,146.39999,141.55,20191112
008A,78667J10,2021-05-04,2021-04-30,78.96,78.76,71.14,20210504
008A,78667J10,2018-11-06,2018-11-02,126.16,,128.25999,20181106
008A,78667J10,2019-02-19,2019-02-15,160.92999,160.92999,152.95,20190219
008A,78667J10,2019-05-02,2019-04-26,166.75999,168.69,165.52,20190502
008A,78667J10,2018-02-22,2018-02-16,163.86,162.37,155.39999,20180222
008A,78667J10,2020-11-05,2020-10-30,78.55,73.38,78.11,20201105
008A,78667J10,2018-05-03,2018-04-27,146.60001,146.83,148.13,20180503
008A,78667J10,2018-08-07,2018-08-03,147.59,145.67999,151.2,20180807
008J,89223110,2020-06-09,2020-06-05,6.48,5.35,5.28,20200609
008J,89223110,2020-08-10,2020-08-07,4.4,4.4,4.59,20200810
008J,89223110,2021-05-10,2021-05-07,10.35,10.35,11.64,20210510
008J,89223110,2021-03-16,2021-03-12,10.71,10.54,10.47,20210316
008J,89223110,2019-08-06,2019-08-02,5.22,5.51,5.9,20190806
008J,89223110,2019-11-05,2019-11-01,7.13,6.89,7.82,20191105
008J,89223110,2018-08-08,2018-08-03,6.51,6.67,7.57,20180808
008J,89223110,2019-03-12,2019-03-08,5.49,4.78,5.39,20190312
008J,89223110,2018-03-13,2018-03-09,7.6,7.56,8.15,20180313
008J,89223110,2018-11-06,2018-11-02,7.14,7.04,7.12,20181106
008J,89223110,2019-05-07,2019-05-03,5.8,5.4,5.84,20190507
008J,89223110,2018-05-08,2018-05-04,7.48,7.49,7.07,20180508
008J,89223110,2020-11-09,2020-11-06,4.96,4.96,5.38,20201109
009J,68906L10,2020-05-07,2020-05-01,2.39,2.4,2.4,20200507
00AI,29272C10,2019-02-27,2019-02-22,8.16,10.93,6.21,20190227
00AO,94419L10,2020-08-05,2020-07-31,290.85001,266.09,301.39999,20200805
00AO,94419L10,2021-02-25,2021-02-19,258.13,292.73001,258.04999,20210225
00AO,94419L10,2021-05-06,2021-04-30,270.97,295.57001,286.13,20210506
00AO,94419L10,2019-05-02,2019-04-26,163.53,154.49001,151.96001,20190502
00AO,94419L10,2019-10-31,2019-10-25,101.08,118.19,82.23,20191031
00AO,94419L10,2018-05-02,2018-04-27,65.17,66.61,74.07,20180502
00AO,94419L10,2019-02-22,2019-02-15,117.28,122.11,149.95,20190222
00AO,94419L10,2019-08-01,2019-07-26,131.16,138.06,129.60001,20190801
00AO,94419L10,2018-02-22,2018-02-16,95.69,97.52,73.95,20180222
00AO,94419L10,2020-05-05,2020-05-01,134.11,122.5,165.88,20200505
00AO,94419L10,2018-08-02,2018-07-27,107.23,115.5,115.32,20180802
00AO,94419L10,2020-11-03,2020-10-30,255.64,248.03,274.10999,20201103
00AO,94419L10,2020-02-28,2020-02-21,70.35,80.14,63.21,20200228
00AO,94419L10,2018-11-01,2018-10-26,110.29,108.73,96.16,20181101
00BV,00030710,2019-04-16,2019-04-12,2.14,2.09,1.74,20190416
00BV,00030710,2019-08-30,2019-08-23,0.6855,0.59,0.6,20190830
00BV,00030710,2018-08-02,2018-07-27,9.69,10.29,8.65,20180802
00BV,00030710,2019-05-09,2019-05-03,1.86,1.97,1.9,20190509
00BX,30555Q10,2018-03-08,2018-03-02,4.49,4.67,4.19,20180308
00BX,30555Q10,2018-05-03,2018-04-27,5.84,5.53,5.55,20180503
00C5,83190B10,2019-05-01,2019-04-26,6.53,6.52,6.52,20190501
00C9,23833710,2018-09-14,2018-09-07,57.52,57.65,62.05,20180914
00JC,77313F10,2020-11-04,2020-10-30,29.38,27.94,31.5,20201104
00JC,77313F10,2021-02-25,2021-02-19,55.95,57.12,51.86,20210225
00JC,77313F10,2020-03-05,2020-02-28,19.78,19.49,19.1,20200305
00JC,77313F10,2020-08-05,2020-07-31,24.88,23.53,25.26,20200805
00JC,77313F10,2019-03-07,2019-03-01,15.41,17.46,14.55,20190307
00JC,77313F10,2019-11-07,2019-11-01,14.85,14.81,15.16,20191107
00JC,77313F10,2019-05-08,2019-05-03,18.61,19.01,18.96,20190508
00JC,77313F10,2019-08-07,2019-08-02,11.6,11.88,12.07,20190807
00JC,77313F10,2018-05-11,2018-05-04,17.8,16.53,17.97,20180511
00JC,77313F10,2018-08-08,2018-08-03,21.24,21.21,21.5,20180808
00JC,77313F10,2018-11-07,2018-11-02,17.64,17.86,18.44,20181107
00JC,77313F10,2020-05-06,2020-05-01,17.0,14.75,17.13,20200506
00KV,86614U10,2019-08-01,2019-07-26,18.44,18.63,19.22,20190801
00KV,86614U10,2020-04-29,2020-04-24,14.41,12.41,15.98,20200429
00KV,86614U10,2020-02-05,2020-01-31,22.78,21.97,24.41,20200205
00KV,86614U10,2019-10-30,2019-10-25,23.24,23.1,23.92,20191030
00KV,86614U10,2019-05-08,2019-05-03,16.65,17.28,15.86,20190508
00KV,86614U10,2019-02-06,2019-02-01,16.1,15.93,15.9,20190206
00KV,86614U10,2018-11-06,2018-11-02,14.47,15.18,14.01,20181106
00KV,86614U10,2018-08-01,2018-07-27,25.1,26.09,21.01,20180801
00KV,86614U10,2018-05-08,2018-05-04,29.66,29.58,29.86,20180508
00KV,86614U10,2018-02-14,2018-02-09,28.79,28.85,31.58,20180214
00NO,09215C10,2021-02-16,2021-02-12,87.4,87.4,82.13,20210216
00NO,09215C10,2019-08-06,2019-08-02,60.66,62.11,58.85,20190806
00NO,09215C10,2021-05-06,2021-04-30,71.29,72.42,74.1,20210506
00NO,09215C10,2019-11-06,2019-11-01,62.34,64.06,57.65,20191106
00NO,09215C10,2020-05-05,2020-05-01,69.6,69.73,72.51,20200505
00NO,09215C10,2020-08-10,2020-08-07,76.65,76.65,79.08,20200810
00NO,09215C10,2018-10-30,2018-10-26,43.43,46.21,47.78,20181030
00NO,09215C10,2020-11-09,2020-11-06,94.39,94.39,86.77,20201109
00NO,09215C10,2019-05-01,2019-04-26,56.42,56.66,54.53,20190501
00NO,09215C10,2019-02-13,2019-02-08,51.07,50.69,51.78,20190213
00Q7,05614L20,2021-04-22,2021-04-16,7.21,7.44,7.61,20210422
00Q7,05614L20,2019-11-07,2019-11-01,4.73,4.72,4.58,20191107
00Q7,05614L20,2020-11-12,2020-11-06,2.68,2.26,2.66,20201112
00QU,36473H10,2019-11-04,2019-11-01,10.74,10.74,10.71,20191104
00QU,36473H10,2019-05-01,2019-04-26,9.33,9.48,9.66,20190501
00QU,36473H10,2018-02-20,2018-02-16,11.26,11.26,9.97,20180220
00QU,36473H10,2019-02-20,2019-02-15,11.26,11.31,10.63,20190220
00QU,36473H10,2018-08-09,2018-08-03,10.1,10.15,10.44,20180809
00QU,36473H10,2018-11-08,2018-11-02,10.37,9.77,10.06,20181108
00QU,36473H10,2018-05-07,2018-05-04,9.7,9.7,10.89,20180507
00QV,89055F10,2018-11-06,2018-11-02,49.45,49.32,52.09,20181106
00QV,89055F10,2021-05-06,2021-04-30,230.05,222.38,223.02,20210506
00QV,89055F10,2019-05-07,2019-05-03,73.8,74.32,80.38,20190507
00QV,89055F10,2021-02-23,2021-02-19,201.17,212.0,201.31,20210223
00QV,89055F10,2020-02-25,2020-02-21,120.78,123.01,114.01,20200225
00QV,89055F10,2020-05-05,2020-05-01,89.01,89.06,98.08,20200505
00QV,89055F10,2019-10-31,2019-10-25,96.52,100.06,103.93,20191031
00QV,89055F10,2019-02-26,2019-02-22,58.7,58.08,59.62,20190226
00QV,89055F10,2019-08-01,2019-07-26,81.13,81.1,85.78,20190801
00QV,89055F10,2018-08-07,2018-08-03,75.8,73.18,80.24,20180807
00QV,89055F10,2018-02-27,2018-02-23,73.34,71.96,72.09,20180227
00QV,89055F10,2020-08-04,2020-07-31,136.0,131.92,134.41,20200804
00QV,89055F10,2020-11-03,2020-10-30,160.14,153.21001,156.85001,20201103
00QV,89055F10,2018-05-08,2018-05-04,77.73,76.49,78.34,20180508
00QZ,29272W10,2021-05-10,2021-05-07,50.53,50.53,50.53,20210510
00QZ,29272W10,2021-02-08,2021-02-05,47.38,47.38,48.73,20210208
00QZ,29272W10,2020-11-12,2020-11-06,47.18,45.2,40.2,20201112
00QZ,29272W10,2020-02-05,2020-01-31,50.32,46.26,51.0,20200205
00QZ,29272W10,2019-11-13,2019-11-08,42.0,43.4,48.38,20191113
00QZ,29272W10,2018-11-15,2018-11-09,55.98,61.4,51.44,20181115
00QZ,29272W10,2020-08-05,2020-07-31,52.98,50.13,45.55,20200805
00QZ,29272W10,2020-05-07,2020-05-01,37.65,37.94,39.36,20200507
00QZ,29272W10,2019-08-06,2019-08-02,39.11,40.63,33.49,20190806
00QZ,29272W10,2019-02-05,2019-02-01,47.75,47.66,47.14,20190205
00QZ,29272W10,2018-08-01,2018-07-27,63.68,63.89,60.79,20180801
00QZ,29272W10,2018-05-02,2018-04-27,56.39,57.54,54.37,20180502
00QZ,29272W10,2019-05-07,2019-05-03,47.5,47.02,45.14,20190507
00QZ,29272W10,2018-01-31,2018-01-26,53.03,55.12,58.22,20180131
00R2,44052W10,2020-08-07,2020-07-31,4.04,4.11,4.66,20200807
00R2,44052W10,2020-05-18,2020-05-15,1.46,1.46,1.43,20200518
00R2,44052W10,2021-03-11,2021-03-05,9.52,9.57,9.75,20210311
00R2,44052W10,2020-11-05,2020-10-30,6.09,5.62,6.09,20201105
00R2,44052W10,2019-11-12,2019-11-08,4.87,4.56,3.79,20191112
00R2,44052W10,2018-11-08,2018-11-02,5.64,5.6,2.56,20181108
00R2,44052W10,2018-03-01,2018-02-23,8.24,8.39,8.81,20180301
00R2,44052W10,2018-05-03,2018-04-27,7.54,7.57,6.0,20180503
00R2,44052W10,2019-08-08,2019-08-02,4.45,4.91,3.26,20190808
00R2,44052W10,2020-03-16,2020-03-13,2.26,2.26,2.23,20200316
00R2,44052W10,2019-05-09,2019-05-03,2.56,2.44,2.73,20190509
00R2,44052W10,2018-08-07,2018-08-03,6.99,6.69,7.76,20180807
00R2,44052W10,2019-03-18,2019-03-15,2.36,2.36,2.38,20190318
00R6,97415510,2021-02-17,2021-02-12,165.99001,170.81,144.03999,20210217
00R6,97415510,2020-02-19,2020-02-14,101.63,100.17,98.75,20200219
00R6,97415510,2020-07-29,2020-07-24,133.28,136.81,155.56,20200729
00R6,97415510,2021-04-28,2021-04-23,148.09,142.37,156.98,20210428
00R6,97415510,2020-11-02,2020-10-30,116.33,116.33,116.55,20201102
00R6,97415510,2019-08-01,2019-07-26,95.59,96.97,88.62,20190801
00R6,97415510,2019-10-30,2019-10-25,83.69,87.55,84.96,20191030
00R6,97415510,2020-05-06,2020-05-01,120.94,118.19,122.98,20200506
00RX,14875P20,2019-08-08,2019-08-02,6.49,6.905,6.61,20190808
00RX,14875P20,2019-11-07,2019-11-01,5.19,5.58,5.29,20191107
00RX,14875P20,2020-03-10,2020-03-06,4.7,4.91,4.79,20200310
00RX,14875P20,2019-05-14,2019-05-10,7.54,7.51,7.91,20190514
00S9,89400J10,2020-02-18,2020-02-14,98.13,98.13,98.16,20200218
00S9,89400J10,2020-04-28,2020-04-24,75.06,72.13,78.11,20200428
00S9,89400J10,2020-07-28,2020-07-24,89.39,89.73,89.39,20200728
00S9,89400J10,2021-04-27,2021-04-23,100.57,103.27,104.99,20210427
00S9,89400J10,2019-07-23,2019-07-19,74.8,75.02,81.92,20190723
00S9,89400J10,2020-10-27,2020-10-23,84.37,86.05,80.6,20201027
00S9,89400J10,2021-02-16,2021-02-12,95.06,95.06,87.6,20210216
00S9,89400J10,2018-10-23,2018-10-19,68.61,68.17,65.71,20181023
00S9,89400J10,2018-07-24,2018-07-20,75.45,75.77,73.57,20180724
00S9,89400J10,2019-02-14,2019-02-08,64.46,61.94,63.64,20190214
00S9,89400J10,2018-02-13,2018-02-09,58.12,55.61,54.95,20180213
00S9,89400J10,2019-10-22,2019-10-18,82.62,81.41,80.46,20191022
00S9,89400J10,2018-04-20,2018-04-13,60.55,58.88,66.84,20180420
00SZ,59870L10,2018-04-26,2018-04-20,19.35,20.2,18.74,20180426
00SZ,59870L10,2018-10-25,2018-10-19,15.52,17.64,15.0,20181025
00SZ,59870L10,2018-07-26,2018-07-20,19.98,19.73,19.55,20180726
00SZ,59870L10,2019-02-21,2019-02-15,14.8,14.25,13.67,20190221
00SZ,59870L10,2019-04-30,2019-04-26,15.31,14.85,14.61,20190430
00SZ,59870L10,2018-02-20,2018-02-16,18.75,18.75,20.45,20180220
00SZ,59870L10,2019-07-30,2019-07-26,16.79,16.95,16.91,20190730
00T2,75342210,2019-08-01,2019-07-26,60.65,65.19,61.06,20190801
00T2,75342210,2019-11-05,2019-11-01,50.8,52.03,48.94,20191105
00T2,75342210,2018-02-12,2018-02-09,23.73,23.73,23.15,20180212
00TC,64052L10,2020-08-10,2020-08-07,0.72,0.72,0.731,20200810
00TC,64052L10,2020-03-13,2020-03-06,1.22,1.39,0.91,20200313
00TC,64052L10,2020-11-09,2020-11-06,0.7186,0.7186,0.5586,20201109
00TC,64052L10,2019-11-08,2019-11-01,1.54,1.49,1.715,20191108
00TC,64052L10,2019-03-14,2019-03-08,2.22,2.13,2.59,20190314
00TC,64052L10,2019-05-09,2019-05-03,2.08,2.35,2.13,20190509
00TC,64052L10,2018-05-09,2018-05-04,7.9,8.225,7.9,20180509
00TC,64052L10,2018-08-08,2018-08-03,5.8,5.6,6.05,20180808
00TC,64052L10,2019-08-08,2019-08-02,1.46,1.33,1.66,20190808
00TC,64052L10,2018-03-15,2018-03-09,8.9,8.95,9.0,20180315
00TC,64052L10,2018-11-09,2018-11-02,2.58,2.87,2.59,20181109
00U5,M5364414,2021-05-17,2021-05-14,3.44,3.44,3.36,20210517
00UX,78469X10,2021-02-10,2021-02-05,57.88,56.97,57.81,20210210
00UX,78469X10,2020-10-28,2020-10-23,44.12,46.99,41.69,20201028
00UX,78469X10,2019-05-02,2019-04-26,35.5,36.12,38.3,20190502
00UX,78469X10,2019-02-05,2019-02-01,32.78,32.68,31.83,20190205
00UX,78469X10,2020-02-11,2020-02-07,44.99,45.5,41.34,20200211
00UX,78469X10,2018-10-30,2018-10-26,38.21,38.71,36.0,20181030
00UX,78469X10,2019-08-06,2019-08-02,37.0,38.18,37.85,20190806
00UX,78469X10,2018-05-02,2018-04-27,45.33,46.45,42.34,20180502
00UX,78469X10,2020-07-29,2020-07-24,38.93,38.87,41.0,20200729
00UX,78469X10,2018-02-06,2018-02-02,43.63,45.58,46.2,20180206
00UX,78469X10,2018-08-01,2018-07-27,47.52,45.34,42.9,20180801
00UX,78469X10,2020-05-12,2020-05-08,30.64,32.18,28.66,20200512
00UX,78469X10,2021-05-05,2021-04-30,68.12,66.59,68.06,20210505
00UX,78469X10,2019-10-30,2019-10-25,43.71,41.68,45.9,20191030
00V5,71377A10,2018-11-07,2018-11-02,29.84,29.38,32.71,20181107
00V5,71377A10,2018-05-09,2018-05-04,32.55,32.85,35.7,20180509
00V5,71377A10,2019-05-08,2019-05-03,41.18,40.45,38.7,20190508
00V5,71377A10,2021-05-05,2021-04-30,55.96,58.7,54.29,20210505
00V5,71377A10,2020-08-12,2020-08-07,34.71,32.47,33.51,20200812
00V5,71377A10,2019-08-14,2019-08-09,43.8,43.86,45.52,20190814
00V5,71377A10,2020-02-05,2020-01-31,52.24,51.79,52.6,20200205
00V5,71377A10,2020-05-04,2020-05-01,26.91,26.91,26.94,20200504
00V5,71377A10,2019-02-06,2019-02-01,35.36,34.01,37.88,20190206
00V5,71377A10,2021-02-03,2021-01-29,50.46,46.88,52.55,20210203
00V5,71377A10,2019-11-06,2019-11-01,43.17,43.51,45.06,20191106
00V5,71377A10,2018-08-15,2018-08-10,37.65,36.55,33.6,20180815
00V5,71377A10,2018-02-07,2018-02-02,31.95,32.5,31.1,20180207
00V5,71377A10,2020-11-04,2020-10-30,37.34,33.61,37.16,20201104
00VP,32008D10,2019-07-25,2019-07-19,28.4,28.77,29.15,20190725
00VP,32008D10,2019-02-06,2019-02-01,25.43,24.65,25.15,20190206
00VP,32008D10,2018-04-30,2018-04-27,15.28,15.28,18.1,20180430
00VP,32008D10,2018-02-12,2018-02-09,15.83,15.83,16.32,20180212
00VP,32008D10,2018-07-30,2018-07-27,22.62,22.62,23.34,20180730
00VP,32008D10,2018-10-29,2018-10-26,21.6,21.6,18.01,20181029
00VP,32008D10,2019-04-30,2019-04-26,25.24,25.21,25.86,20190430
00VY,01748H10,2021-01-28,2021-01-22,34.88,36.47,35.72,20210128
00VY,01748H10,2021-04-29,2021-04-23,40.24,40.71,40.61,20210429
00VY,01748H10,2020-07-30,2020-07-24,24.35,23.98,24.99,20200730
00VY,01748H10,2020-04-30,2020-04-24,27.91,22.68,25.08,20200430
00VY,01748H10,2019-10-25,2019-10-18,35.01,35.1,33.97,20191025
00VY,01748H10,2020-01-29,2020-01-24,36.67,36.78,37.77,20200129
00VY,01748H10,2019-07-26,2019-07-19,33.77,33.51,35.29,20190726
00VY,01748H10,2018-07-26,2018-07-20,45.05,45.4,45.3,20180726
00VY,01748H10,2020-10-29,2020-10-23,27.24,27.91,27.4,20201029
00VY,01748H10,2019-01-25,2019-01-18,35.51,36.34,35.53,20190125
00VY,01748H10,2018-10-25,2018-10-19,37.18,40.12,39.65,20181025
00VY,01748H10,2018-04-26,2018-04-20,41.55,40.95,41.15,20180426
00VZ,00461U10,2021-02-25,2021-02-19,20.67,21.2,21.22,20210225
00VZ,00461U10,2021-05-07,2021-04-30,23.83,23.85,22.95,20210507
00VZ,00461U10,2020-11-04,2020-10-30,3.71,3.84,3.95,20201104
00VZ,00461U10,2020-08-07,2020-07-31,1.95,2.15,2.1,20200807
00VZ,00461U10,2018-08-03,2018-07-27,18.08,17.99,17.805,20180803
00VZ,00461U10,2019-03-18,2019-03-15,5.63,5.63,6.78,20190318
00VZ,00461U10,2018-03-12,2018-03-09,21.28,21.28,19.75,20180312
00WB,30227H10,2021-03-02,2021-02-26,5.5,5.47,5.36,20210302
00WB,30227H10,2020-05-11,2020-05-08,5.55,5.55,5.69,20200511
00WB,30227H10,2020-08-10,2020-08-07,5.65,5.65,5.84,20200810
00WB,30227H10,2021-05-04,2021-04-30,3.32,3.28,3.57,20210504
00WB,30227H10,2020-11-02,2020-10-30,4.23,4.23,4.4,20201102
00XB,45781U10,2020-01-22,2020-01-17,47.71,47.69,47.86,20200122
00XR,05464T10,2021-05-10,2021-05-07,56.96,56.96,54.39,20210510
00XR,05464T10,2021-03-01,2021-02-26,67.36,67.36,69.2,20210301
00XR,05464T10,2020-05-08,2020-05-01,91.82,90.13,87.97,20200508
00XR,05464T10,2020-11-05,2020-10-30,74.73,66.31,69.51,20201105
00XR,05464T10,2020-03-12,2020-03-06,73.65,83.7,64.78,20200312
00XR,05464T10,2018-11-09,2018-11-02,3.92,4.02,3.87,20181109
00XR,05464T10,2019-05-09,2019-05-03,19.64,17.95,19.81,20190509
00XR,05464T10,2018-08-08,2018-08-03,2.625,2.575,2.55,20180808
00XR,05464T10,2018-03-07,2018-03-02,2.675,2.7,2.8,20180307
00XR,05464T10,2019-03-14,2019-03-08,10.42,9.63,10.71,20190314
00XR,05464T10,2019-11-07,2019-11-01,25.76,24.77,23.27,20191107
00XR,05464T10,2018-05-08,2018-05-04,3.35,3.25,3.3,20180508
00XR,05464T10,2020-08-10,2020-08-07,78.07,78.07,81.79,20200810
00YE,05351W10,2018-07-24,2018-07-20,52.27,52.44,50.09,20180724
00YE,05351W10,2018-02-20,2018-02-16,50.22,50.22,49.58,20180220
00YE,05351W10,2018-04-23,2018-04-20,50.73,50.73,51.07,20180423
010U,94909010,2019-11-05,2019-11-01,19.79,19.35,17.46,20191105
010U,94909010,2020-11-03,2020-10-30,6.55,6.08,6.92,20201103
010U,94909010,2021-02-25,2021-02-19,16.08,15.32,15.81,20210225
010U,94909010,2020-05-05,2020-05-01,4.76,4.69,4.98,20200505
010U,94909010,2019-02-19,2019-02-15,15.23,15.23,15.85,20190219
010U,94909010,2019-08-06,2019-08-02,15.55,16.1,16.38,20190806
010U,94909010,2019-05-07,2019-05-03,17.27,17.11,16.53,20190507
010U,94909010,2021-05-06,2021-04-30,21.93,22.34,21.99,20210506
010U,94909010,2020-02-25,2020-02-21,13.4,14.01,13.25,20200225
010U,94909010,2018-02-26,2018-02-23,22.01,22.01,20.91,20180226
010U,94909010,2018-08-09,2018-08-03,22.88,22.38,20.77,20180809
010U,94909010,2018-05-07,2018-05-04,18.85,18.85,19.49,20180507
010U,94909010,2018-11-05,2018-11-02,19.32,19.32,14.26,20181105
010U,94909010,2020-08-04,2020-07-31,6.27,6.08,6.56,20200804
011Y,22101510,2021-03-25,2021-03-19,2.86,3.07,3.12,20210325
012R,02922710,2019-09-05,2019-08-30,6.08,6.2,7.54,20190905
012R,02922710,2020-11-06,2020-10-30,11.49,11.49,11.49,20201106
013E,82982L10,2020-10-28,2020-10-23,123.49,125.47,126.58,20201028
013E,82982L10,2020-04-29,2020-04-24,86.44,77.46,96.74,20200429
013E,82982L10,2019-10-30,2019-10-25,80.19,79.92,87.59,20191030
013E,82982L10,2020-02-18,2020-02-14,105.71,105.71,115.29,20200218
013E,82982L10,2021-02-24,2021-02-19,152.96,161.52,163.71,20210224
013E,82982L10,2021-05-05,2021-04-30,185.73,179.38,193.5,20210505
