TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
017Q,16255,36870A10,20160915,20191230,1
017Q,16255,64132R10,20200116,20220331,1
0180,16260,58506Q10,20160915,20220331,1
019B,16304,67059N10,20161020,20220331,1
019G,16303,66988N10,20161020,20210525,1
019G,16303,66988N20,20210617,20220331,1
019I,16318,26856L10,20161020,20220331,1
019L,16282,03835C10,20161020,20190109,1
01A6,16277,25787G10,20161117,20220331,1
01A9,16382,22266L10,20161117,20220331,1
01AC,16434,00509810,20161117,20220331,1
01AF,16347,01387210,20161117,20220331,1
01BP,16471,83191H10,20161215,20220331,1
01E5,18224,21241B10,20181109,20210203,1
01E5,18224,02076410,20210218,20220331,1
01FC,16553,47009K10,20170216,20200109,1
01FE,16557,48669A10,20170216,20191030,1
01FE,16557,65290C10,20191114,20220331,1
01FQ,16595,83304A10,20170316,20220331,1
01GF,16602,12674R10,20170316,20191030,1
01HP,16617,74347M10,20170420,20220331,1
01IF,16653,93627C10,20170420,20220331,1
01IN,16676,69324R10,20170518,20220331,1
01JE,16654,12739A10,20170518,20211028,1
01KJ,16657,18914U10,20170615,20211007,1
01KO,16738,03675Y10,20170615,20190312,1
01KO,16738,03676B10,20190314,20220331,1
01LJ,16750,83418M10,20170615,20220331,1
01LL,16712,92347M10,20170615,20220331,1
01LW,16696,14575E10,20170615,20220331,1
01MI,16698,03782L10,20170720,20220331,1
01NX,16755,09523Q10,20170720,20190616,1
01NX,16755,09523Q20,20190620,20220331,1
01TA,16968,60937P10,20171116,20220331,1
01TT,16989,68752L10,20171116,20220331,1
01TV,16967,14178810,20171116,20220331,1
01UZ,16971,63845R10,20171214,20220331,1
01VQ,17034,02136910,20171214,20220331,1
01W3,17104,03753U10,20171214,20220331,1
01W8,17050,21988010,20171214,20181219,1
01WG,17037,78781P10,20171214,20220331,1
01X0,16903,62818Q10,20180118,20220331,1
01XB,17125,24823R10,20180118,20220331,1
01XP,17135,14713L10,20180118,20220331,1
01YF,15782,97137512,20180118,20200701,1
01YF,15782,97137810,20200716,20220331,1
01Z4,17221,53115L10,20180118,20220331,1
01Z4,,,20220519,,6
01ZA,17251,65441V10,20180215,20220331,1
01ZB,17223,00090Q10,20180215,20220331,1
01ZK,17252,72814N10,20180315,20220331,1
01ZN,17272,76133L10,20180315,20200915,1
01ZN,17272,00700210,20200917,20220331,1
0200,17281,12720310,20180315,20220331,1
0208,16677,02133L10,20180315,20190923,1
0208,,,20191017,20211231,6
022K,17683,19764110,20180517,20220331,1
022T,17673,72582H10,20180517,20191227,1
0234,17672,38431350,20180614,20220331,1
0237,17691,65487K10,20180614,20220331,1
023A,17685,25616310,20180614,20220331,1
023R,17801,21044C10,20180614,20220331,1
023S,17799,45773010,20180614,20220331,1
0249,17794,98311A10,20180614,20220331,1
024B,17792,71534710,20180614,20210506,1
024S,17788,72941B10,20180614,20210405,1
0260,17864,05550J10,20180719,20220331,1
026D,17871,05455M10,20180719,20220331,1
026U,17880,30041R10,20180816,20220331,1
027P,17958,21037310,20180816,20210714,1
027T,17949,09371210,20180920,20220331,1
027U,17950,34417P10,20180920,20220331,1
027V,17956,08579X10,20180920,20220331,1
0288,18011,83570H10,20180920,20220331,1
028A,18013,04206A10,20180920,20220331,1
02A0,18062,28414H10,20181018,20220331,1
02AC,18063,29975E10,20181018,20220331,1
02AV,18135,40131M10,20181115,20220331,1
02B4,18137,01977010,20181115,20220331,1
02B6,18141,03272L10,20181115,20220331,1
02BO,18183,83417Q10,20181115,20210801,1
02BO,18183,83417Q20,20210819,20220331,1
02C9,18214,90184D10,20181220,20220331,1
02CB,18144,03965310,20181220,20220331,1
02DO,18321,87167A10,20190117,20200122,1
02E2,17973,74374N10,20190214,20220331,1
02EO,18322,98212N10,20190214,20220331,1
02FB,16066,74587B10,20190314,20220331,1
02FW,18056,28484920,20190418,20220331,1
02GR,18485,72352L10,20190418,20220331,1
02H0,18480,89267210,20190516,20220331,1
02H6,18425,90171V20,20190516,20201108,1
02H6,18425,05875B10,20201119,20220331,1
02HC,17116,54351810,20190516,20220331,1
02HD,18566,82710M10,20190516,20220331,1
02HN,18482,69553P10,20190516,20220331,1
