TICKER,PERMNO,ANNDATS,RET,PRC,VOL,RET_1,PRC_1
AA,24643.0,20220720.0,,,,,
AA,24643.0,20180718.0,0.022869,19.68,6410565.0,-0.025915,19.17
AA,24643.0,20220119.0,,,,,
AA,24643.0,20211014.0,,,,,
AA,24643.0,20200115.0,-0.013185,29.19,2462158.0,0.027749,30.0
AA,24643.0,20200715.0,0.064372,16.7,3045275.0,-0.029940,16.2
AA,24643.0,20190116.0,0.001495,20.1,5559295.0,0.003980,20.18
AA,24643.0,20180418.0,-0.002947,23.68,2726840.0,-0.006334,23.53
AAIC,11731.0,20210506.0,,,,,
AAIC,11731.0,20210803.0,,,,,
AAIC,11731.0,20220809.0,,,,,
AAIC,11731.0,20211109.0,,,,,
AAIC,11731.0,20220512.0,,,,,
AAIC,11731.0,20210216.0,,,,,
AAIC,11731.0,20220302.0,,,,,
AAOI,14145.0,20201105.0,0.104741,10.02,1102739.0,-0.232535,7.69
AAOI,14145.0,20180221.0,0.036604,34.55,2319662.0,-0.203763,27.51
AAOI,14145.0,20200227.0,-0.060904,9.56,1024583.0,-0.065900,8.93
AAOI,14145.0,20200507.0,0.131725,12.2,1645452.0,-0.164754,10.19
AAOI,14145.0,20181107.0,-0.045320,19.38,2370391.0,0.119711,21.7
AAOI,14145.0,20210805.0,,,,,
AAOI,14145.0,20180508.0,0.044293,35.13,2567258.0,-0.081697,32.26
AAOI,14145.0,20210225.0,,,,,
AAOI,14145.0,20190508.0,-0.001656,12.06,1151657.0,-0.093698,10.93
AAOI,14145.0,20220224.0,,,,,
AAOI,14145.0,20190807.0,0.008893,10.21,1642087.0,0.067581,10.9
AAOI,14145.0,20220505.0,,,,,
AAOI,14145.0,20180807.0,-0.044895,37.23,2883692.0,0.099114,40.92
AAOI,14145.0,20220804.0,,,,,
AAOI,14145.0,20190221.0,-0.000684,14.6,2179488.0,0.056164,15.42
AAOI,14145.0,20210506.0,,,,,
AAOI,14145.0,20200806.0,-0.065798,15.05,1925080.0,0.049834,15.8
AAOI,14145.0,20191106.0,0.033539,11.71,2218679.0,-0.087105,10.69
AAOI,14145.0,20211104.0,,,,,
AAON,76868.0,20200806.0,-0.051017,56.92,476922.0,0.029339,58.59
AAON,76868.0,20220808.0,,,,,
AAON,76868.0,20181101.0,0.108147,38.22,645739.0,0.020670,39.01
AAON,76868.0,20190502.0,-0.007018,49.52,145226.0,0.046244,51.81
AAON,76868.0,20220228.0,,,,,
AAON,76868.0,20200507.0,0.035379,48.58,463469.0,0.007410,48.94
AAON,76868.0,20210506.0,,,,,
AAON,76868.0,20201105.0,0.033859,61.68,202164.0,0.030156,63.54
AAON,76868.0,20191031.0,-0.020137,48.66,312370.0,0.009248,49.11
AAON,76868.0,20210805.0,,,,,
AAON,76868.0,20200227.0,0.084149,57.59,462315.0,-0.044799,55.01
AAON,76868.0,20180802.0,-0.010667,37.1,409366.0,0.032345,38.3
AAON,76868.0,20190228.0,-0.040905,39.86,183165.0,0.035123,41.26
AAON,76868.0,20211104.0,,,,,
